LP.,GRUPA,EAN,NAZWA,CENA_NETTO,CENA BRUTTO,SZTUKI,ZAMÓWIENIE,WARTOŚĆ NETTO
1,SKINCARE & MAKE-UP LUX,686769002068,3LAB_Anti - Aging Eye Lift 15ml,"1149,98","1414,48",9,,0
2,SKINCARE & MAKE-UP LUX,686769002730,3LAB_Anti - Aging Oil 30ml," 811,76"," 998,46",9,,0
3,SKINCARE & MAKE-UP LUX,686769001924,3LAB_Anti-Aging Cream 60ml,"1894,10","2329,74",9,,0
4,SKINCARE & MAKE-UP LUX,686769000736,"3LAB_""h"" Serum Age-Defying Booster Anti Age 30ml"," 662,94"," 815,41",10,,0
5,SKINCARE & MAKE-UP LUX,686769001023,3LAB_Hydrating - Vita Cream 60ml," 419,41"," 515,87",2,,0
6,SKINCARE & MAKE-UP LUX,686769000903,"3LAB_""M"" Cream Ultimate Lift 60ml"," 811,76"," 998,46",5,,0
7,SKINCARE & MAKE-UP LUX,686769002631,"3LAB_""M"" Eye Brightening 15ml"," 676,46"," 832,05",24+,,0
8,SKINCARE & MAKE-UP LUX,686769002549,"3LAB_""M"" Serum Ageless 30ml"," 744,11"," 915,26",10,,0
9,SKINCARE & MAKE-UP LUX,686769000781,3LAB_Perfect Balancing Toner 160ml," 230,00"," 282,90",9,,0
10,SKINCARE & MAKE-UP LUX,686769001139,3LAB_Perfect Body Cream 200ml," 662,94"," 815,41",8,,0
11,SKINCARE & MAKE-UP LUX,686769001030,"3LAB_Perfect ""C"" Eye Treatment 14ml"," 297,64"," 366,10",3,,0
12,SKINCARE & MAKE-UP LUX,686769001122,"3LAB_Perfect ""C"" Treatment Serum 30ml"," 392,35"," 482,59",7,,0
13,SKINCARE & MAKE-UP LUX,686769001085,3LAB_Perfect Cleansing Emulsion 200ml," 162,35"," 199,69",4,,0
14,SKINCARE & MAKE-UP LUX,686769000828,3LAB_Perfect Cleansing Gel 200ml," 162,35"," 199,69",4,,0
15,SKINCARE & MAKE-UP LUX,686769000958,3LAB_Perfect Cream Exclusive Complex 60ml," 554,70"," 682,28",10,,0
16,SKINCARE & MAKE-UP LUX,686769001061,3LAB_Perfect Mask Lifting Firming Brightening 140ml,"432,94","532,51",5,,0
